titles,category
 김경율   김건희 주가조작 의혹  엄호 나섰나    윤 한 갈등   봉합 인가  뉴스앤이슈 ,Politics
김경율  이재명 피습  송영길 돈봉투  도이치 사건 더 밝혀질 것 없어 ,Politics
정의당   연동 병립 혼합형 선거제  수용 가능 병립형 막자는 고육지책 ,Politics
여   저출생 공약   탄  늘봄교육 확대 초  고  연    만원씩 지급 ,Politics
김 의장  강성희  강퇴   경호원 과도한 대응 재발방지 필요 ,Politics
 감시 정찰 능력 향상  중고도 정찰용 무인기 양산,Politics
 속보    올해부터 본격적 GTX 시대 열 것  교통격차 해소 ,Politics
 항소심 당선무효형  이은주  정의당  석 지키려 오늘 사퇴,Politics
북한  어제 신형전략순항미사일  불화살       첫 시험발사 ,Politics
한동훈  김여사 이슈에  제 생각 이미 충분히 말씀드렸고 더는  ,Politics
 새마을금고 사태 재발 막자  한은 공개시장 운영에 비은행 포함,Economic
금융위  서천시장 화재 피해 가계    상환유예 등 지원,Economic
기아  지난해 영업이익     조   역대 최대 실적,Economic
SK하이닉스   분기 영업이익     억  깜짝 실적 ,Economic
지난해   월 은행 대출 연체율          년 만에 최고,Economic
IBK금융그룹 유암코      억 부동산 PF 정상화 펀드 조성,Economic
광진구 건대입구역지구 지구단위계획 변경 결정,Economic
현대차 지난해 영업이익   조      억 원 역대 최대,Economic
 농어촌 빈집 활용 숙박업  특례  년 연장 농촌 소멸위험지역은     채 까지 가능,Economic
보금자리론   특례  떼고          금리로 재출시,Economic
 김하성 류현진 에    억 뜯었다  공갈 혐의  임혜동  오늘 영장심사,Social
김치가  라바이차이    서 파는 한국 라면에 엉뚱한 중국어,Social
   후지코시 강제동원 피해자들 최종 승소   년 만에 결론 뉴스  PICK ,Social
   명예훼손 혐의  뉴스버스 대표   출석    특검 해달라 ,Social
   약물 살해  요양병원장 구속영장 재청구,Social
대전시   신혼부부가 행복한 도시 구축  민 관이 맞손,Social
박경귀 아산시장 당선무효 일단 면해 대법  절차상 위법 ,Social
 조국 지지 배신감  공지영 사과받은 진중권  돌아와 반갑다 ,Social
곡성세계장미축제  문체부  예비 문화관광축제  지정,Social
 수사외압   심도 무죄 이성윤  검찰권 남용 경종 울린 계기 ,Social
화엄사 홍매화  천연기념물 지정   경제적 가치   억 ,Culture
작곡가 진은숙   클래식 음악의 노벨상  받았다,Culture
 전국 매서운 강추위 기승 내일 낮부터 누그러져 날씨클릭 ,Culture
미국서 세계 최초 질소 가스 사형 집행 D day 반발 잇따라,World
러 우크라 책임공방 속 안보리서  수송기 추락  논의키로,World
  뉴햄프셔까지 연승  트럼프 대세굳혀   이제 관심은 러닝메이트      미국의 선택 ,World
 오염수   월부터  만 천   t 방류한다  올해  차례 ,World
 김건희 명품백  논란  외신도 주목    사과로 끝날 일 아냐 ,World
 영상  아르헨   년만에 총파업  정부 개혁안 반대  vs  특권층 저항 ,World
도쿄  미사일 공격 장기체류 대피소 만든다  도발 등 대비,World
중국 장시성 건물 화재   명 사망 교육기관 호텔 등 입주,World
 항공당국   동체구멍  보잉     맥스  운항재개 승인,World
MS  장중 시총  조 달러 돌파 애플 이어 역대 두 번째,World
제 이통사 주파수 경매 시작 최종 낙찰가 얼마나 오를까 ,IT
  억 매출 올린 히트 웹툰  가비지타임   네이버웹툰 공식 팝업스토어 문 열어,IT
개인정보위   회원정보 유출  한국고용정보원 한국장학재단에 과태료,IT
오라클  기업 대상  OCI 생성형 AI 서비스  정식 출시,IT
삼성SDS  작년 영업익     억원 전년비       ,IT
 삼성SDS  첼로스퀘어 올해 매출 목표  조원  컨콜 ,IT
김창한 크래프톤 대표  계단식 성장 위한 전환점 될 것 ,IT
SK C C  디지털 커머스 혁신   클라우드 기술로 승부,IT
